,X,year,BLACKCRAPPIE,BLACKNOSESHINER,BLUEGILL,BLUNTNOSEMINNOW,COMMONSHINER,GOLDENSHINER,IOWADARTER,JOHNNYDARTER,LARGEMOUTHBASS,LOGPERCH,MIMICSHINER,MOTTLEDSCULPIN,MUDMINNOW,MUSKELLUNGE,NORTHERNPIKE,PUMPKINSEED,ROCKBASS,SMALLMOUTHBASS,WALLEYE,WHITESUCKER,YELLOWPERCH,BLACKCHINSHINER,UNIDSUNFISH,YELLOWBULLHEAD,BLACKBULLHEAD,HORNYHEADCHUB,UNIDMINNOW,UNIDREDHORSE,UNIDENTIFIED,BROWNBULLHEAD,SHORTHEADREDHORS,FINESCALEDACE,BGPUMPHYBRID,MUSKYPIKEHYBRID,ROSYFACESHINER,CREEKCHUB,BURBOT,FANTAILDARTER,GRASSPICKEREL,SPOTTAILSHINER,SLIMYSCULPIN,LARVALFISH,FATHEAD,GOLDENREDHORSE,GREATERREDHORSE,EMERALDSHINER,WHITECRAPPIE,BROOKSTICKLEBACK,LARVALSUNFISH,PROPINQUUS,CRAYFISH,SUNFISH,VIRILIS,SILVERREDHORSE
1,1,1981,2.943181818,0.215909091,4.67861244,2.25,1.454545455,5.075757576,0.25,0.545454545,1.126136364,0.636363636,0.454545455,0.215909091,0.5,0.363636364,1.085227273,1.265151515,0.312121212,0.090909091,2.5,3.318181818,17.8461039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2,2,1982,1.111111111,0.055555556,1.851851852,0.833333333,0.62037037,0.541666667,0.055555556,1.722222222,2.076388889,0.5,0.055555556,0,0,0.5,0.259259259,0.5,0.888888889,0,0.75,2.243055556,6.841269841,0.055555556,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
3,3,1983,2.45,0.333333333,6.842857143,0.416666667,0.508333333,1.816666667,0.066666667,0,2.627777778,0.316666667,0,0,0,0,0.472222222,2.505555556,0.900595238,0.066666667,1,3.166666667,7.297222222,0.2,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
4,4,1984,1.314814815,0,14.33333333,3.055555556,0.055555556,0.958333333,0,0.333333333,1.157407407,0,0,0.111111111,0,0,0.75,1.75,1.287037037,0.458333333,5.375,4.75,3.902777778,0.111111111,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1985,2.877777778,0,9.486111111,0.444444444,0,1.87037037,0.055555556,0.055555556,1.490740741,0.333333333,0,0.055555556,0,0.435185185,0.768518519,0.909722222,0.944444444,0,2.888888889,1.972222222,6.15,0.277777778,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1986,2.319444444,0.347222222,17.79861111,0.362962963,0.402777778,2.5,0,0.763888889,0.833333333,1.027777778,0,0.152777778,0,0.5,0.625,3.527777778,0.6125,1.902777778,1.083333333,2.083333333,10.36111111,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
7,7,1987,0.406862745,0,10.21490196,2.245098039,0.582107843,0.598039216,0.294117647,0.033333333,2.975490196,0.117647059,0.058823529,0.166666667,0,0.25,0.5,3.591911765,1.129084967,0.242647059,2,3.5,8.398039216,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
8,8,1988,0.216666667,0.133333333,12.03333333,1.666666667,0.066666667,0.2,0,0.333333333,3,0,0,0,0,0.5,6.5,6.322222222,1.116666667,0.5,1.166666667,1,16.53333333,0,0,4.5,1,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1989,1.05952381,0.238888889,8.715277778,1.5,0.453703704,0.666666667,0.208333333,0.666666667,2.826388889,0,0,0.033333333,0,0.625,1.722222222,4.59,1,0,1.268518519,2,4.422222222,0,0,1.861111111,0.5,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1990,0.541666667,1.333333333,12.16245211,1.911877395,0.708333333,2.064814815,0.055555556,0.555555556,2.972222222,0.055555556,0.277777778,0.166666667,0,0.152777778,0.87037037,3.256944444,0.715277778,1.75,0.777777778,1.75,5.190772669,0.819444444,0,0.5,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1991,4.120833333,3,32.36111111,6.738888889,0.62037037,1.377777778,0.236111111,3.277777778,5.727777778,0.527777778,0,0.208333333,0.25,0.25,1.084722222,5.398148148,1.981481481,0,1.354166667,0.993055556,15.64351852,0.055555556,0,0.824074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,1992,0.819444444,0.944444444,23.02011494,1.265565134,0.5,2.616666667,0.433908046,0.166666667,4.240740741,0.055555556,0,0,0,0.375,1,2.532806513,1.259259259,0.527777778,3.25,3,5.305555556,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1993,0.333333333,0.033333333,14.47222222,2.030555556,0.777777778,5.125,0.055555556,1.111111111,2.87037037,0.277777778,0.444444444,0.055555556,0,0,1.333333333,3.263888889,0.87037037,0.333333333,3.666666667,1.703703704,8.555555556,0,0,0,0,0,0,0,0,0.166666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1994,11.71666667,0.111111111,12.45138889,4.532738095,1.444444444,4.422222222,1,0.378968254,6.478174603,0.361111111,1.25,0.194444444,0,0.472222222,0.768518519,3.444444444,0.986111111,0.625,2.916666667,2.5,13.95634921,0.236111111,0,0.166666667,0,0,0,0,0,0,0.5,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1995,4.122222222,0,19.21527778,7.731944444,2.255555556,1.855555556,0.194444444,0.87962963,7.631944444,1.111111111,0,0.277777778,0,0.25,2.851851852,2.229166667,1.59,1.055555556,3.368055556,2.888888889,8.417460317,0,0,0.425925926,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,1996,8.455555556,0.117816092,14.02777778,12.02777778,6.333333333,8.472222222,0,6.888888889,11.2037037,0.111111111,0,0,0,0.416666667,3.583333333,2.083333333,1.597222222,0.277777778,7.333333333,2,13.14827586,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
17,17,1997,9.166666667,3.416666667,7.549731183,10.09408602,1.625,4.416666667,0.166666667,5.583333333,2.889784946,0.208333333,4.416666667,0.083333333,0,0.5,2.333333333,1.333333333,2.25,0.861111111,3.291666667,3.194444444,9.255376344,2,0,0.361111111,0,0,0,0,0,0,0.5,0,0.166666667,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1998,2.133333333,0.083333333,14.625,21.75,3.458333333,6.166666667,0.666666667,0.5,5.770833333,0.5,0.166666667,0.083333333,0,0.333333333,2.944444444,1.666666667,1.625,1,2.458333333,2.25,11.05208333,0,0,0.416666667,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1999,1.830246914,0.708333333,17.58333333,6.375,2.25,31.08333333,0.194444444,0,2.833333333,0.805555556,0,0,0,0,2.222222222,1.694444444,2.791666667,0.907407407,2.25,5.5,24.26388889,0.333333333,0,0.361111111,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2000,0.555555556,0,11.54166667,1.333333333,1,0.472222222,0,0.166666667,2.116666667,1.208333333,0.166666667,0.166666667,0,0,2.083333333,2.25,1,5.333333333,20.02083333,1.277777778,9.027777778,0.333333333,0,1.555555556,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.166666667,0.083333333,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2001,1.75,0.416666667,6.5,0.541666667,0.875,0.555555556,0,1.333333333,3.451388889,0.166666667,0,0.333333333,0,0,4.666666667,0.520833333,0.833333333,0.5,5.266666667,0.784722222,34.67222222,0.083333333,0,1.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.083333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2002,2.944444444,0.333333333,8.291666667,4.416666667,0.333333333,0,0.666666667,1,25.5,5.333333333,0,0,0,0,2.638888889,1.5,1.854166667,3.361111111,14.22222222,2.25,15.54761905,0.333333333,0,2,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,2003,1.3,0,19.36111111,0.583333333,0,0.166666667,0,0.388888889,2.895833333,0.166666667,0.333333333,0.083333333,0,0,1.0625,0.444444444,0.744444444,0.722222222,6.916666667,1.333333333,13.18888889,0.083333333,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,2004,2.033333333,4.333333333,5.020833333,3.611111111,1.291666667,0.833333333,0,2.611111111,23.83333333,1.25,0.166666667,0.25,0,0,1.166666667,0,2.166666667,5.611111111,2.333333333,9.083333333,318.1825397,0,0,2.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,NA,0,0
25,25,2005,18.26388889,0.083333333,9.5,6.166666667,3.111111111,0,0.666666667,1.472222222,14.5,0,0.416666667,0.166666667,0,0,0.979166667,0.5,2.09375,3.138888889,7.791666667,1.555555556,36.3125,0,0,3.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,2006,0.783333333,8.708333333,13.18333333,22.48148148,4.722222222,0.333333333,0.25,2.666666667,4.756944444,1.166666667,0.625,0,0,0,3.416666667,0.75,2.097222222,2.527777778,3.291666667,2.333333333,32.77083333,0,0,1.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,NA,0
27,27,2007,0.777777778,0,17.33333333,5.4375,0.458333333,0,0.152777778,0.916666667,2.583333333,0.222222222,0,0,0,0,1.305555556,1.25,1.738888889,0.972222222,1.527777778,0.375,5.428571429,1.5,0,2.0625,0,0,0,0,0,0.166666667,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,2008,0,2.277777778,7.016666667,3.185185185,2.416666667,0.666666667,1.5,2.666666667,19.36111111,0.5,0.333333333,0,0,0.333333333,2.166666667,0.777777778,0.791666667,2,1.861111111,3.895833333,154.1309524,0,0,4.916666667,0,0,0,0,0.083333333,0.791666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0
29,29,2009,0.933333333,0.083333333,13.55555556,1.666666667,0,0,0.055555556,0.527777778,5.6875,0.638888889,0,1.305555556,0,0.083333333,1.333333333,0.416666667,1.145833333,1.444444444,5.305555556,3.444444444,280.9861111,0.25,0,4.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0
30,30,2010,1.183333333,0.6,7.583333333,11.8875,3.138888889,0,0.055555556,0.32962963,6.28,0.344444444,1.333333333,0.566666667,0,0,0,0.666666667,0.873611111,0.634722222,8.45,3.083333333,169.7861111,0.425,0,0.243055556,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,2011,1.435185185,0,5.227777778,3.740740741,1.4375,0.5,0.333333333,1.277777778,7.561111111,2.208333333,0,0.333333333,0,0.333333333,0.583333333,0.583333333,1.388888889,4.25,6.083333333,1.916666667,25.11507937,0.166666667,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.25,0,0,0,0,0,0.291666667,0,0,0,0,0,0,0,0,0
32,32,2012,1.685185185,0,7.366666667,4.25,0.333333333,0.458333333,0.361111111,0.791666667,9.683333333,1.611111111,0,0,0,0,1,1,0.361111111,1.222222222,3.05,7.222222222,9.2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
33,33,2013,1.016666667,1.416666667,18.8125,2.333333333,0,1,0,1.583333333,2.458333333,0.305555556,0.083333333,NA,0,0,0,0.333333333,0.791666667,2.743055556,4.611111111,3,52.31666667,0,0,0.166666667,0,0,0,0,0.125,0,2,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,2014,10.38888889,0,6.4,0.611111111,0.5,0.5,0,3.083333333,8.472222222,0.583333333,1.5,0,0,0,0.333333333,0,0.416666667,1.25,3.291666667,3,63.11666667,0,0,0.333333333,0,0,0,0,0.166666667,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,2015,1.55,3.716666667,19.03333333,0.983333333,2.291666667,2.25,0,4.2,7.883333333,0.772222222,0.2,0.427777778,0,0.208333333,0.2,0.333333333,0.722222222,1.461111111,1.54,2.666666667,86.47916667,0,0,0,0.4,0.083333333,0.2,0,0,1.4,0,0,0,0,0,0,0.261111111,0,0,0,0,0,0,0,0,0.272222222,0,0,0,0,0,0,0,0
36,36,2016,1.175925926,0.5,9.277777778,6.678104575,0.333333333,3.6875,0,2.375,16.45220588,0.444444444,0,0.722222222,0,0,0,0.25,0.833333333,1.520833333,5.805555556,1.888888889,34.98611111,3.333333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0
37,37,2017,4.402777778,0.083333333,7.572222222,2.083333333,0.083333333,1.333333333,0,0,12.50555556,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0.333333333,0.5,2.270833333,3.513888889,2.083333333,75.26984127,0,0,0.333333333,0.166666667,0.592592593,0,0,0.833333333,0,1,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,2018,0.952020202,0.166666667,7.917171717,0.613636364,2.090909091,0.836363636,0.166666667,0.272727273,7.87037037,1.015151515,0.181818182,0.333333333,0,0,0.308080808,0,0.818181818,10.20833333,5.568181818,4.25,26.88159371,0,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0
